,State,Population,Area,Density,Ratio
0,Uttar Pradesh,199812341,240928.0,828.0,912
1,Maharashtra,112374333,307713.0,365.0,929
2,Bihar,104099452,94163.0,1102.0,918
3,West Bengal,91276115,88752.0,1029.0,953
4,Madhya Pradesh,72626809,308245.0,236.0,931
5,Tamil Nadu,72147030,130058.0,555.0,996
6,Rajasthan,68548437,342239.0,201.0,928
7,Karnataka,61095297,191791.0,319.0,973
8,Gujarat,60439692,196024.0,308.0,919
9,Andhra Pradesh,49577103,162968.0,303.0,993
10,Odisha,41974218,155707.0,269.0,979
11,Telengana,35003674,112077.0,312.0,988
12,Kerala,33406061,38863.0,859.0,1084
13,Jharkhand,32988134,79714.0,414.0,948
14,Assam,31205576,78438.0,397.0,954
15,Punjab,27743338,50362.0,550.0,895
16,Chhattisgarh,25545198,135191.0,189.0,991
17,Haryana,25351462,44212.0,573.0,879
18,Uttarakhand,10086292,53483.0,189.0,963
19,Himachal Pradesh,6864602,55673.0,123.0,972
20,Tripura,3673917,10486.0,350.0,960
21,Meghalaya,2966889,22429.0,132.0,989
22,Manipur,2570390,22327.0,122.0,992
23,Nagaland,1978502,16579.0,119.0,931
24,Goa,1458545,3702.0,394.0,973
25,Arunachal Pradesh,1383727,83743.0,17.0,938
26,Mizoram,1097206,21081.0,52.0,976
27,Sikkim,610577,7096.0,86.0,890
28,Delhi,16787941,1484.0,11297.0,868
29,Jammu and Kashmir,12267032,125535.0,98.0,890
30,Puducherry,1247953,479.0,2598.0,1037
31,Chandigarh,1055450,114.0,9252.0,818
32,Dadra and Nagar Haveli and Daman and Diu,585764,603.0,970.0,711
33,Andaman and Nicobar Islands,380581,8249.0,46.0,876
34,Ladakh,274000,96701.0,2.8,853
35,Lakshadweep,64473,32.0,2013.0,946
